text,date,user
Thank you!,2016-10-23 15:59:00,WikiLeaks Task Force
Good. Thanks for adding me.,2016-10-23 16:01:34,WikiLeaks Task Force
great!,2016-10-25 07:33:03,WikiLeaks Task Force
Visualization of the DNC/Clinton/Podesta emails: https://clinton.media.mit.edu/,2016-10-29 11:13:19,WikiLeaks Task Force
"yes, they are *so* annoying.",2016-11-23 13:35:41,WikiLeaks Task Force
"waste of time imo. some of them are real supporters who believe information they have been fed. (others are real trolls, but you’d risk putting several supporters on that list)",2016-11-23 13:38:41,WikiLeaks Task Force
"No. There are a few from over a decade ago, but each only consideres a part.",2016-12-15 12:02:07,WikiLeaks Task Force
