text,date,user
"Hi folks, long time no see.",2016-11-11 07:17:56,WikiLeaks Press
"Sorry to be so absent, and I have no idea if this is the right place to post, as I can’t even make it to the beginning of this convo. We are working on getting the site back up at the very least. May take some time still.",2016-11-11 07:21:36,WikiLeaks Press
"yeah. it was left unpaid on accident, and m said they were asking too much for it back, so we are setting up at wikileaks-press.is Still working out some things though, but will tweet when we’re ready.",2016-11-20 11:30:47,WikiLeaks Press
http://[email protected],2016-11-20 11:38:48,WikiLeaks Press
Thanks Emmy,2016-11-20 11:39:07,WikiLeaks Press
